
2019-04-28 15:35:03 : کد نماد			
2019-04-28 15:35:03 : IRB5IKCO8751	اوراق مشاركت ايران‌ خودرو		18719101
2019-04-28 15:35:03 : IRO1APPE0001	آسان پرداخت پرشين		آپ
2019-04-28 15:35:03 : IRO1ASIA0001	بيمه آسيا		آسيا
2019-04-28 15:35:03 : IRO1CONT0001	كنتورسازي‌ايران‌		آكنتور
2019-04-28 15:35:03 : IRR1CONT0101	ح . كنتورسازي‌ايران‌		آكنتورح
2019-04-28 15:35:03 : IRO1MKBT0001	مخابرات ايران		اخابر
2019-04-28 15:35:03 : IRR1MKBT0101	ح . مخابرات ايران		اخابرح
2019-04-28 15:35:03 : IRO1OFOG0001	فروشگاههاي زنجيره اي افق كوروش		افق
2019-04-28 15:35:03 : IRO1BKLA0001	كارگزاران بورس كالاي ايران		اكالا
2019-04-28 15:35:03 : IRO1BALB0001	بيمه البرز		البرز
2019-04-28 15:35:03 : IRR1BALB0101	ح.بيمه البرز		البرزح
2019-04-28 15:35:03 : IRO1OMID0001	تامين سرمايه اميد		اميد
2019-04-28 15:35:03 : IRR1OMID0101	ح . تامين سرمايه اميد		اميدح
2019-04-28 15:35:03 : IRO1BAKH0001	كابل‌ باختر		باختر
2019-04-28 15:35:03 : IRR1BAKH0101	ح . كابل‌ باختر		باخترح
2019-04-28 15:35:03 : IRO1KALZ0001	كابل‌ البرز		بالبر
2019-04-28 15:35:03 : IRR1KALZ0101	ح . كابل‌ البرز		بالبرح
2019-04-28 15:35:03 : IRO1KBLI0001	كابلسازي‌ايران‌		بايكا
2019-04-28 15:35:03 : IRR1KBLI0101	ح . كابلسازي‌ايران‌		بايكاح
2019-04-28 15:35:03 : IRO1TRNS0001	ايران‌ ترانسفو		بترانس
2019-04-28 15:35:03 : IRR1TRNS0101	ح . ايران‌ ترانسفو		بترانسح
2019-04-28 15:35:03 : IRO1KTAK0001	كابلسازي‌ تك‌		بتك
2019-04-28 15:35:03 : IRR1KTAK0101	ح . كابلسازي‌ تك‌		بتكح
2019-04-28 15:35:03 : IRO1JHRM0001	توسعه مولد نيروگاهي جهرم		بجهرم
2019-04-28 15:35:03 : IRO1TTZC0001	ترانسفورماتور توزيع زنگان		برانسفو
2019-04-28 15:35:03 : IRO1BRKT0001	گروه دارويي بركت		بركت
2019-04-28 15:35:03 : IRR1BRKT0101	ح . گروه دارويي بركت		بركتح
2019-04-28 15:35:03 : IRO1SWIC0001	پارس‌سويچ‌		بسويچ
2019-04-28 15:35:03 : IRR1SWIC0101	ح . پارس‌سويچ‌		بسويچح
2019-04-28 15:35:03 : IRO1LAPS0001	لامپ‌ پارس‌ شهاب‌		بشهاب
2019-04-28 15:35:03 : IRR1LAPS0101	ح . لامپ‌ پارس‌ شهاب‌		بشهابح
2019-04-28 15:35:03 : IRO1BFJR0001	پتروشيمي فجر		بفجر
2019-04-28 15:35:03 : IRO1JOSH0001	صنايع‌جوشكاب‌يزد		بكاب
2019-04-28 15:35:03 : IRR1JOSH0101	ح . صنايع‌جوشكاب‌يزد		بكابح
2019-04-28 15:35:03 : IRO1KGND0001	كارخانجات توليدي شهيد قندي		بكام
2019-04-28 15:35:03 : IRR1KGND0101	ح.كارخانجات توليدي شهيد قندي		بكامح
2019-04-28 15:35:03 : IRO1MOTJ0001	موتوژن‌		بموتو
2019-04-28 15:35:03 : IRR1MOTJ0101	ح . موتوژن‌		بموتوح
2019-04-28 15:35:03 : IRO1NIRO0001	نيروترانس‌		بنيرو
2019-04-28 15:35:03 : IRR1NIRO0101	ح . نيروترانس‌		بنيروح
2019-04-28 15:35:03 : IRO1BORS0001	بورس اوراق بهادار تهران		بورس
2019-04-28 15:35:03 : IRO1ARTA0001	مجتمع‌صنعتي‌آرتاويل‌تاير		پارتا
2019-04-28 15:35:03 : IRR1ARTA0101	ح . مجتمع‌صنعتي‌آرتاويل‌تاير		پارتاح
2019-04-28 15:35:03 : IRO1PARS0001	پتروشيمي پارس		پارس
2019-04-28 15:35:03 : IRO1PASN0001	گسترش نفت و گاز پارسيان		پارسان
2019-04-28 15:35:03 : IRR1PASN0101	ح. گسترش نفت و گاز پارسيان		پارسانح
2019-04-28 15:35:03 : IRO1IPAR0001	بيمه پارسيان		پارسيان
2019-04-28 15:35:03 : IRR1IPAR0101	ح.بيمه پارسيان		پارسيانح
2019-04-28 15:35:03 : IRO1YASA0001	ايران‌ياساتايرورابر		پاسا
2019-04-28 15:35:03 : IRR1YASA0101	ح . ايران‌ياساتايرورابر		پاساح
2019-04-28 15:35:03 : IRO1PASH0001	گروه صنعتي پاكشو		پاكشو
2019-04-28 15:35:03 : IRR1PASH0101	ح . گروه صنعتي پاكشو		پاكشوح
2019-04-28 15:35:03 : IRO1TAIR0001	ايران‌ تاير		پتاير
2019-04-28 15:35:03 : IRR1TAIR0101	ح . ايران‌ تاير		پتايرح
2019-04-28 15:35:03 : IRO1IPTR0001	گروه پتروشيمي س. ايرانيان		پترول
2019-04-28 15:35:03 : IRO1DRKH0001	درخشان‌ تهران‌		پدرخش
2019-04-28 15:35:03 : IRR1DRKH0101	ح . درخشان‌ تهران‌		پدرخشح
2019-04-28 15:35:03 : IRO1DENA0001	توليدي‌لاستيك‌دنا		پدنا
2019-04-28 15:35:03 : IRR1DENA0101	ح . توليدي‌لاستيك‌دنا		پدناح
2019-04-28 15:35:03 : IRO1PRKT0001	به پرداخت ملت		پرداخت
2019-04-28 15:35:03 : IRR1PRKT0101	ح . به پرداخت ملت		پرداختح
2019-04-28 15:35:03 : IRO1AYEG0001	سرمايه گذاري پرديس		پرديس
2019-04-28 15:35:03 : IRR1AYEG0101	ح . سرمايه گذاري پرديس		پرديسح
2019-04-28 15:35:03 : IRO1PERS0001	توسعه صنعت نفت و گاز پرشيا		پرشيا
2019-04-28 15:35:03 : IRO1SHND0001	صنايع‌ لاستيكي‌ سهند		پسهند
2019-04-28 15:35:03 : IRR1SHND0101	ح . صنايع‌ لاستيكي‌ سهند		پسهندح
2019-04-28 15:35:03 : IRO1SHIN0001	پلاستيك‌ شاهين‌		پشاهن
2019-04-28 15:35:03 : IRR1SHIN0101	ح . پلاستيك‌ شاهين‌		پشاهنح
2019-04-28 15:35:03 : IRO1BARZ0001	گروه‌ صنعتي‌ بارز		پكرمان
2019-04-28 15:35:03 : IRR1BARZ0101	ح . گروه‌ صنعتي‌ بارز		پكرمانح
2019-04-28 15:35:03 : IRO1KVRZ0001	كوير تاير		پكوير
2019-04-28 15:35:03 : IRR1KVRZ0101	ح. كوير تاير		پكويرح
2019-04-28 15:35:03 : IRO1LALZ0001	لاستيك‌البرز		پكيان
2019-04-28 15:35:03 : IRR1LALZ0101	ح . لاستيك‌البرز		پكيانح
2019-04-28 15:35:03 : IRO1PLST0001	پلاستيران‌		پلاست
2019-04-28 15:35:03 : IRR1PLST0101	ح . پلاستيران‌		پلاستح
2019-04-28 15:35:03 : IRO1PLKK0001	پلاسكوكار		پلاسك
2019-04-28 15:35:03 : IRR1PLKK0101	ح . پلاسكوكار		پلاسكح
2019-04-28 15:35:03 : IRO1GAZL0001	گازلوله‌		پلوله
2019-04-28 15:35:03 : IRR1GAZL0101	ح . گازلوله‌		پلولهح
2019-04-28 15:35:03 : IRO1LYZD0001	مجتمع‌صنايع‌لاستيك‌يزد		پيزد
2019-04-28 15:35:03 : IRO1PTAP0001	س. نفت و گاز و پتروشيمي تأمين		تاپيكو
2019-04-28 15:35:03 : IRR1PTAP0101	ح . س.نفت وگازوپتروشيمي تأمين		تاپيكوح
2019-04-28 15:35:03 : IRO1TRIR0001	تراكتورسازي‌ايران‌		تايرا
2019-04-28 15:35:03 : IRR1TRIR0101	ح . تراكتورسازي‌ايران‌		تايراح
2019-04-28 15:35:03 : IRO1HPKO0001	توليدتجهيزات‌سنگين‌هپكو		تپكو
2019-04-28 15:35:03 : IRR1HPKO0101	ح . توليدتجهيزات‌سنگين‌هپكو		تپكوح
2019-04-28 15:35:03 : IRO1PIRN0001	پمپ‌ سازي‌ ايران‌		تپمپي
2019-04-28 15:35:03 : IRR1PIRN0101	ح . پمپ‌ سازي‌ ايران‌		تپمپيح
2019-04-28 15:35:03 : IRO1MOZI0001	ماشين‌آلات صنعتي تراكتورسازي‌		تراك
2019-04-28 15:35:03 : IRR1MOZI0101	ح.ماشين‌آلات صنعتي تراكتورسازي		تراكح
2019-04-28 15:35:03 : IRO1FROZ0001	فيروزا		تفيرو
2019-04-28 15:35:03 : IRR1FROZ0101	ح . فيروزا		تفيروح
2019-04-28 15:35:03 : IRO1TKLA0001	توليدكنندگان بورس كالاي ايران		تكالا
